Memoization,1,1,1,1397
Bottom-up,1,1,1,1397
Memoization,2,1,2,2374
Bottom-up,2,1,2,2375
Memoization,2,2,1,1955
Bottom-up,2,2,1,2374
Memoization,3,1,3,1886
Bottom-up,3,1,3,1397
Memoization,3,2,3,1885
Bottom-up,3,2,3,1467
Memoization,3,3,1,1885
Bottom-up,3,3,1,1886
Memoization,4,1,4,1956
Bottom-up,4,1,4,1886
Memoization,4,2,6,2444
Bottom-up,4,2,6,1956
Memoization,4,3,4,1955
Bottom-up,4,3,4,1885
Memoization,4,4,1,1885
Bottom-up,4,4,1,1955
Memoization,5,1,5,1886
Bottom-up,5,1,5,1956
Memoization,5,2,10,1397
Bottom-up,5,2,10,1396
Memoization,5,3,10,1886
Bottom-up,5,3,10,1956
Memoization,5,4,5,2444
Bottom-up,5,4,5,1816
Memoization,5,5,1,1956
Bottom-up,5,5,1,1955
Memoization,6,1,6,1956
Bottom-up,6,1,6,1886
Memoization,6,2,15,1886
Bottom-up,6,2,15,1816
Memoization,6,3,20,2375
Bottom-up,6,3,20,1886
Memoization,6,4,15,1886
Bottom-up,6,4,15,1397
Memoization,6,5,6,1885
Bottom-up,6,5,6,1466
Memoization,6,6,1,1397
Bottom-up,6,6,1,1885
Memoization,7,1,7,1467
Bottom-up,7,1,7,1956
Memoization,7,2,21,1885
Bottom-up,7,2,21,1885
Memoization,7,3,35,1955
Bottom-up,7,3,35,1397
Memoization,7,4,35,1886
Bottom-up,7,4,35,1886
Memoization,7,5,21,2445
Bottom-up,7,5,21,1885
Memoization,7,6,7,1885
Bottom-up,7,6,7,1397
Memoization,7,7,1,1816
Bottom-up,7,7,1,1955
Memoization,8,1,8,1886
Bottom-up,8,1,8,1956
Memoization,8,2,28,2863
Bottom-up,8,2,28,1886
Memoization,8,3,56,1886
Bottom-up,8,3,56,1467
Memoization,8,4,70,1885
Bottom-up,8,4,70,1885
Memoization,8,5,56,2375
Bottom-up,8,5,56,1885
Memoization,8,6,28,1885
Bottom-up,8,6,28,1397
Memoization,8,7,8,1885
Bottom-up,8,7,8,1396
Memoization,8,8,1,2444
Bottom-up,8,8,1,2375
Memoization,9,1,9,2305
Bottom-up,9,1,9,1397
Memoization,9,2,36,2374
Bottom-up,9,2,36,1886
Memoization,9,3,84,2444
Bottom-up,9,3,84,1467
Memoization,9,4,126,2305
Bottom-up,9,4,126,1886
Memoization,9,5,126,1886
Bottom-up,9,5,126,1885
Memoization,9,6,84,1467
Bottom-up,9,6,84,1397
Memoization,9,7,36,1956
Bottom-up,9,7,36,1956
Memoization,9,8,9,1885
Bottom-up,9,8,9,1955
Memoization,9,9,1,1886
Bottom-up,9,9,1,1885
Memoization,10,1,10,2375
Bottom-up,10,1,10,31499
Memoization,10,2,45,1955
Bottom-up,10,2,45,1816
Memoization,10,3,120,1955
Bottom-up,10,3,120,1397
Memoization,10,4,210,2444
Bottom-up,10,4,210,1886
Memoization,10,5,252,1886
Bottom-up,10,5,252,1955
Memoization,10,6,210,2375
Bottom-up,10,6,210,2305
Memoization,10,7,120,2374
Bottom-up,10,7,120,2374
Memoization,10,8,45,2304
Bottom-up,10,8,45,1397
Memoization,10,9,10,1467
Bottom-up,10,9,10,1467
Memoization,10,10,1,2374
Bottom-up,10,10,1,1816
Memoization,11,1,11,1396
Bottom-up,11,1,11,1886
Memoization,11,2,55,1886
Bottom-up,11,2,55,1397
Memoization,11,3,165,1956
Bottom-up,11,3,165,1397
Memoization,11,4,330,2375
Bottom-up,11,4,330,1466
Memoization,11,5,462,1956
Bottom-up,11,5,462,1467
Memoization,11,6,462,2374
Bottom-up,11,6,462,1467
Memoization,11,7,330,1886
Bottom-up,11,7,330,1397
Memoization,11,8,165,2374
Bottom-up,11,8,165,2305
Memoization,11,9,55,1466
Bottom-up,11,9,55,1886
Memoization,11,10,11,1955
Bottom-up,11,10,11,1885
Memoization,11,11,1,1396
Bottom-up,11,11,1,1886
Memoization,12,1,12,1956
Bottom-up,12,1,12,1885
Memoization,12,2,66,1955
Bottom-up,12,2,66,1886
Memoization,12,3,220,1886
Bottom-up,12,3,220,1956
Memoization,12,4,495,1956
Bottom-up,12,4,495,1397
Memoization,12,5,792,1886
Bottom-up,12,5,792,1886
Memoization,12,6,924,2863
Bottom-up,12,6,924,1466
Memoization,12,7,792,2934
Bottom-up,12,7,792,1955
Memoization,12,8,495,1886
Bottom-up,12,8,495,2305
Memoization,12,9,220,2444
Bottom-up,12,9,220,1467
Memoization,12,10,66,2305
Bottom-up,12,10,66,1955
Memoization,12,11,12,1955
Bottom-up,12,11,12,1955
Memoization,12,12,1,1467
Bottom-up,12,12,1,1886
Memoization,13,1,13,2374
Bottom-up,13,1,13,2375
Memoization,13,2,78,1886
Bottom-up,13,2,78,1467
Memoization,13,3,286,2305
Bottom-up,13,3,286,1815
Memoization,13,4,715,2863
Bottom-up,13,4,715,1886
Memoization,13,5,1287,3283
Bottom-up,13,5,1287,1886
Memoization,13,6,1716,3701
Bottom-up,13,6,1716,2863
Memoization,13,7,1716,2375
Bottom-up,13,7,1716,1885
Memoization,13,8,1287,1955
Bottom-up,13,8,1287,1467
Memoization,13,9,715,2305
Bottom-up,13,9,715,1816
Memoization,13,10,286,2235
Bottom-up,13,10,286,1885
Memoization,13,11,78,2375
Bottom-up,13,11,78,2375
Memoization,13,12,13,1955
Bottom-up,13,12,13,1886
Memoization,13,13,1,1956
Bottom-up,13,13,1,1397
Memoization,14,1,14,1886
Bottom-up,14,1,14,1885
Memoization,14,2,91,1886
