algorithm,n,time(ns)
merge-sort,1,530
insertion-sort,1,60
hybrid-sort,1,150
merge-sort,2,520
insertion-sort,2,70
hybrid-sort,2,80
merge-sort,3,550
insertion-sort,3,90
hybrid-sort,3,100
merge-sort,4,610
insertion-sort,4,100
hybrid-sort,4,110
merge-sort,5,650
insertion-sort,5,140
hybrid-sort,5,150
merge-sort,6,750
insertion-sort,6,150
hybrid-sort,6,160
merge-sort,7,770
insertion-sort,7,160
hybrid-sort,7,170
merge-sort,8,820
insertion-sort,8,200
hybrid-sort,8,210
merge-sort,9,830
insertion-sort,9,220
hybrid-sort,9,240
merge-sort,10,910
insertion-sort,10,260
hybrid-sort,10,250
merge-sort,11,961
insertion-sort,11,330
hybrid-sort,11,390
merge-sort,12,990
insertion-sort,12,310
hybrid-sort,12,310
merge-sort,13,1040
insertion-sort,13,380
hybrid-sort,13,320
merge-sort,14,1050
insertion-sort,14,320
hybrid-sort,14,330
merge-sort,15,1280
insertion-sort,15,470
hybrid-sort,15,400
merge-sort,16,1100
insertion-sort,16,460
hybrid-sort,16,440
merge-sort,17,1220
insertion-sort,17,520
hybrid-sort,17,530
merge-sort,18,1210
insertion-sort,18,510
hybrid-sort,18,530
merge-sort,19,1230
insertion-sort,19,570
hybrid-sort,19,630
merge-sort,20,1300
insertion-sort,20,530
hybrid-sort,20,550
merge-sort,21,1340
insertion-sort,21,560
hybrid-sort,21,611
merge-sort,22,1380
insertion-sort,22,780
hybrid-sort,22,670
merge-sort,23,1381
insertion-sort,23,670
hybrid-sort,23,660
merge-sort,24,1450
insertion-sort,24,700
hybrid-sort,24,760
merge-sort,25,1550
insertion-sort,25,780
hybrid-sort,25,741
merge-sort,26,1490
insertion-sort,26,870
hybrid-sort,26,780
merge-sort,27,1590
insertion-sort,27,860
hybrid-sort,27,1010
merge-sort,28,1670
insertion-sort,28,980
hybrid-sort,28,990
merge-sort,29,1820
insertion-sort,29,1020
hybrid-sort,29,960
merge-sort,30,1590
insertion-sort,30,1010
hybrid-sort,30,1040
merge-sort,31,1610
insertion-sort,31,990
hybrid-sort,31,1160
merge-sort,32,1850
insertion-sort,32,1220
hybrid-sort,32,1190
merge-sort,33,1780
insertion-sort,33,1220
hybrid-sort,33,1270
merge-sort,34,1840
insertion-sort,34,1410
hybrid-sort,34,1310
merge-sort,35,2060
insertion-sort,35,1210
hybrid-sort,35,1320
merge-sort,36,1930
insertion-sort,36,1140
hybrid-sort,36,1300
merge-sort,37,1930
insertion-sort,37,1380
hybrid-sort,37,1430
merge-sort,38,2110
insertion-sort,38,1450
hybrid-sort,38,1420
merge-sort,39,2020
insertion-sort,39,1390
hybrid-sort,39,1450
merge-sort,40,2070
insertion-sort,40,1480
hybrid-sort,40,1430
merge-sort,41,2200
insertion-sort,41,2160
hybrid-sort,41,1760
merge-sort,42,2170
insertion-sort,42,1500
hybrid-sort,42,1410
merge-sort,43,2180
insertion-sort,43,1630
hybrid-sort,43,1780
merge-sort,44,2340
insertion-sort,44,1780
hybrid-sort,44,1910
merge-sort,45,2350
insertion-sort,45,1790
hybrid-sort,45,1930
merge-sort,46,2510
insertion-sort,46,1720
hybrid-sort,46,2020
merge-sort,47,2370
insertion-sort,47,1850
hybrid-sort,47,1790
merge-sort,48,2480
insertion-sort,48,1940
hybrid-sort,48,2190
merge-sort,49,2500
insertion-sort,49,2100
hybrid-sort,49,2180
merge-sort,50,2620
insertion-sort,50,2150
hybrid-sort,50,1820
merge-sort,51,2590
insertion-sort,51,2090
hybrid-sort,51,1900
merge-sort,52,2621
insertion-sort,52,2280
hybrid-sort,52,2060
merge-sort,53,2700
insertion-sort,53,2240
hybrid-sort,53,2120
merge-sort,54,3130
insertion-sort,54,2170
hybrid-sort,54,2090
merge-sort,55,2710
insertion-sort,55,2460
hybrid-sort,55,2380
merge-sort,56,2840
insertion-sort,56,2120
hybrid-sort,56,2490
merge-sort,57,2720
insertion-sort,57,2610
hybrid-sort,57,2650
merge-sort,58,2910
insertion-sort,58,2651
hybrid-sort,58,2551
merge-sort,59,2980
insertion-sort,59,2450
hybrid-sort,59,2540
merge-sort,60,2940
insertion-sort,60,2530
hybrid-sort,60,2910
merge-sort,61,2920
insertion-sort,61,2720
hybrid-sort,61,2970
merge-sort,62,2900
insertion-sort,62,2640
